"participant","word","item_number","item_set","item_condition","obstruent_sequence","vowel_type","vowel_length","cons_length","ratio","C1_MoA","C2_MoA","voicing_proportion","n_frames"
18,spade#work,16,4,sonorant,dp,long,0.13331057121833276,0.06281649952696311,0.4712041884816756,plosive,plosive,0.2631578947368421,19
18,speed#freak,17,5,assimilation,df,long,0.12020385764700078,0.055585598911907896,0.46242774566474004,plosive,fricative,1,17
18,seat#frame,18,5,voiceless,df,long,0.09244489066519071,0.09466356804115528,1.0239999999999998,plosive,fricative,0.27586206896551724,29
18,seed#vault,19,5,voiced,df,long,0.10967521786942466,0.06276211889637595,0.5722543352601155,plosive,fricative,1,19
18,speed#walking,20,5,sonorant,df,long,0.10927479057873546,0.05782790012378336,0.5291970802919708,plosive,fricative,0.3888888888888889,18
18,food#fight,21,6,assimilation,df,long,0.11432686677092785,0.05490273263010659,0.48022598870056493,plosive,fricative,0.875,16
18,boot#faced,22,6,voiceless,df,long,0.09869484585003978,0.09728491948075355,0.9857142857142862,plosive,fricative,0.5862068965517241,29
18,food#vendor,23,6,voiced,df,long,0.09967805986651992,0.07439739250906918,0.7463768115942025,plosive,fricative,1,22
18,food#mixer,24,6,sonorant,df,long,0.10806105329549034,0.06730659890976257,0.6228571428571429,plosive,fricative,0.25,20
18,toad#fish,25,7,assimilation,df,long,0.11132836286327838,0.08834444278827897,0.7935483870967741,plosive,fricative,0.037037037037037035,27
18,boat#fishing,26,7,voiceless,df,long,0.11906587805730934,0.09748518765942199,0.8187499999999998,plosive,fricative,0.3448275862068966,29
18,toad#venom,27,7,voiced,df,long,0.14337107513027286,0.07918751242660421,0.5523255813953489,plosive,fricative,1,24
18,code#name,28,7,sonorant,df,long,0.1288791715053729,0.07198038834076675,0.5585106382978722,plosive,fricative,1,21
18,paid#for,29,8,assimilation,df,long,0.12294854165191774,0.06645867116319881,0.5405405405405408,plosive,fricative,0.6,20
18,state#funded,30,8,voiceless,df,long,0.10174890830807254,0.08106823588773254,0.7967479674796744,plosive,fricative,0.08,25
18,jade#vein,31,8,voiced,df,long,0.15429656481249074,0.0640794476816901,0.41530054644808717,plosive,fricative,0.8421052631578947,19
18,aid#worker,32,8,sonorant,df,long,0.1283186561890603,0.05832666190411834,0.4545454545454547,plosive,fricative,0.5555555555555556,18
18,blues#pianist,33,9,assimilation,zp,long,0.11794244795843281,0.09751147272153898,0.8267716535433075,fricative,plosive,0.3793103448275862,29
18,goose#pimples,34,9,voiceless,zp,long,0.1334108034676501,0.09710279999227694,0.7278481012658226,fricative,plosive,0.1724137931034483,29
18,blues#band,35,9,voiced,zp,long,0.13407078756674537,0.07155073118847033,0.533678756476684,fricative,plosive,1,21
18,blues#melody,36,9,sonorant,zp,long,0.15736323537500777,0.08246843351203614,0.5240641711229945,fricative,plosive,0.4,25
18,cheese#plate,37,10,assimilation,zp,long,0.12325285941257613,0.07074276546165614,0.5739644970414203,fricative,plosive,0.19047619047619047,21
18,peace#pipe,38,10,voiceless,zp,long,0.10353609621205784,0.09289882605328476,0.8972602739726026,fricative,plosive,0.17857142857142858,28
18,cheese#burger,39,10,voiced,zp,long,0.12508371760233575,0.06965739962285766,0.5568862275449105,fricative,plosive,1,21
18,cheese#wire,40,10,sonorant,zp,long,0.15949721159230013,0.07116029440271854,0.4461538461538463,fricative,plosive,0.42857142857142855,21
18,maize#plant,41,11,assimilation,zp,long,0.20720145821507407,0.09725782732544297,0.469387755102041,fricative,plosive,0.20689655172413793,29
18,face#paint,42,11,voiceless,zp,long,0.1407954444294274,0.08447726665765642,0.5999999999999999,fricative,plosive,0.5384615384615384,26
18,maize#bread,43,11,voiced,zp,long,0.14347726241855932,0.07935689293061915,0.5530973451327438,fricative,plosive,0.25,24
18,phase#meter,44,11,sonorant,zp,long,0.1626215129715084,0.07489148623687886,0.4605263157894736,fricative,plosive,0.045454545454545456,22
18,hose#pipe,45,12,assimilation,zp,long,0.14536555510504418,0.08721933306302654,0.6000000000000002,fricative,plosive,0.038461538461538464,26
18,dose#pump,46,12,voiceless,zp,long,0.17936841316608637,0.10881117007231778,0.6066350710900472,fricative,plosive,0,33
18,nose#bone,47,12,voiced,zp,long,0.13984514672724968,0.07442402658445907,0.5321888412017168,fricative,plosive,1,22
18,nose#muscles,48,12,sonorant,zp,long,0.1594933506329684,0.07154841897553721,0.4485981308411214,fricative,plosive,0.22727272727272727,22
18,blues#fan,49,13,assimilation,zf,long,0.1321249076902284,0.08930665056839515,0.6759259259259263,fricative,fricative,0.2222222222222222,27
18,goose#fat,50,13,voiceless,zf,long,0.1491529162628154,0.1104836416761596,0.7407407407407409,fricative,fricative,0.21212121212121213,33
18,blues#violin,51,13,voiced,zf,long,0.16282651464269085,0.08922000802339225,0.547945205479452,fricative,fricative,0.6296296296296297,27
18,blues#music,52,13,sonorant,zf,long,0.15562643626230058,0.07821226027541262,0.5025641025641027,fricative,fricative,0.5833333333333334,24
18,cheese#fingers,53,14,assimilation,zf,long,0.1231800465185128,0.08977528814061103,0.728813559322034,fricative,fricative,0.34615384615384615,26
18,peace#fighter,54,14,voiceless,zf,long,0.10261810405095498,0.09959992452004451,0.9705882352941174,fricative,fricative,0.1,30
18,cheese#vat,55,14,voiced,zf,long,0.1631055071277328,0.09190208777247894,0.5634517766497464,fricative,fricative,1,28
18,cheese#wedge,56,14,sonorant,zf,long,0.13307797568525992,0.07429506618011444,0.5582822085889572,fricative,fricative,0.6363636363636364,22
18,maize#field,57,15,assimilation,zf,long,0.1408169523723712,0.10269523598427072,0.7292817679558011,fricative,fricative,0.03225806451612903,31
18,space#flight,58,15,voiceless,zf,long,0.15897070325676785,0.10944214244310146,0.6884422110552763,fricative,fricative,0,33
18,blaze#victim,59,15,voiced,zf,long,0.14868999378294365,0.08444123103722723,0.567901234567901,fricative,fricative,0.23076923076923078,26
18,maze#map,60,15,sonorant,zf,long,0.17336536305849998,0.095350949682175,0.55,fricative,fricative,0.3103448275862069,29
18,nose#fracture,61,16,assimilation,zf,long,0.1625758358594147,0.1034573500923548,0.6363636363636362,fricative,fricative,0.03225806451612903,31
18,dose#feeder,62,16,voiceless,zf,long,0.2863841498958461,0.18926256862682,0.6608695652173913,fricative,fricative,0.03571428571428571,56
18,nose#vein,63,16,voiced,zf,long,0.20013642615797503,0.09673260597635458,0.4833333333333332,fricative,fricative,0.27586206896551724,29
18,nose#wipes,64,16,sonorant,zf,long,0.17929230645925986,0.06376891312210786,0.35567010309278335,fricative,fricative,0.2631578947368421,19
18,bed#post,65,17,assimilation,dp,short,0.08082682776951841,0.1008334683065279,1.2475247524752473,plosive,plosive,1,30
18,jet#pack,66,17,voiceless,dp,short,0.07833057577493313,0.09292854671480705,1.1863636363636365,plosive,plosive,1,28
18,head#band,67,17,voiced,dp,short,0.0708692391464312,0.08304988962472407,1.171875,plosive,plosive,1,25
18,head#wear,68,17,sonorant,dp,short,0.0779477518411969,0.059607104349150564,0.7647058823529411,plosive,plosive,1,18
18,blood#pressure,69,18,assimilation,dp,short,0.07429689849979729,0.08628026922557103,1.161290322580645,plosive,plosive,0.9615384615384616,26
18,nut#paste,70,18,voiceless,dp,short,0.055310140186254256,0.08657239333500666,1.5652173913043477,plosive,plosive,0.038461538461538464,26
18,blood#bath,71,18,voiced,dp,short,0.05480014454119711,0.08347463877787006,1.5232558139534893,plosive,plosive,1,25
18,mud#water,72,18,sonorant,dp,short,0.06299637224249521,0.06368864006933586,1.0109890109890116,plosive,plosive,0.42105263157894735,19
18,mud#flap,73,19,assimilation,df,short,0.039592065680261385,0.08264843710754566,2.0875000000000004,plosive,fricative,0.36,25
18,nut#flower,74,19,voiceless,df,short,0.056589797351422416,0.10067719761357713,1.7790697674418612,plosive,fricative,0.3333333333333333,30
18,blood#vow,75,19,voiced,df,short,0.07100302029660807,0.0805188889961535,1.1340206185567012,plosive,fricative,1,24
18,flood#wave,76,19,sonorant,df,short,0.06422367741672513,0.0845048387062173,1.3157894736842108,plosive,fricative,0.5769230769230769,26
18,head#phones,77,20,assimilation,df,short,0.059669795858299166,0.0797626863003795,1.336734693877551,plosive,fricative,0.5833333333333334,24
18,jet#fighter,78,20,voiceless,df,short,0.07549521375904508,0.08296998739855449,1.0990099009900989,plosive,fricative,0,25
18,head#vein,79,20,voiced,df,short,0.07234816107710823,0.08175930398144748,1.1300813008130077,plosive,fricative,1,25
18,head#massage,80,20,sonorant,df,short,0.07163144050783354,0.09009315197892462,1.257731958762886,plosive,fricative,0.8148148148148148,27
19,food#poisoning,1,1,assimilation,dp,long,0.12860528333944743,0.09812106802935622,0.7629629629629632,plosive,plosive,1,30
19,boot#polish,2,1,voiceless,dp,long,0.11268395222863664,0.11873409731473791,1.053691275167785,plosive,plosive,0.2777777777777778,36
19,food#bank,3,1,voiced,dp,long,0.1341964759716564,0.08200895753823445,0.6111111111111109,plosive,plosive,1,24
19,food#waste,4,1,sonorant,dp,long,0.12241740889051927,0.059434539099020245,0.48550724637681175,plosive,plosive,1,18
19,speed#painting,5,2,assimilation,dp,long,0.14037401090237417,0.06545045907104569,0.46625766871165686,plosive,plosive,1,20
19,seat#pads,6,2,voiceless,dp,long,0.09501886355298977,0.13397659760971564,1.4100000000000006,plosive,plosive,0,40
19,speed#boat,7,2,voiced,dp,long,0.1659205609338027,0.07731376923093425,0.4659685863874346,plosive,plosive,1,23
19,speed#limit,8,2,sonorant,dp,long,0.12220525244724192,0.05781753879224344,0.47311827956989205,plosive,plosive,1,18
19,toad#pond,9,3,assimilation,dp,long,0.17606602776436972,0.09770137956866759,0.5549132947976878,plosive,plosive,1,29
19,coat#pocket,10,3,voiceless,dp,long,0.10753666085292524,0.0885109439327923,0.8230769230769229,plosive,plosive,0.5555555555555556,27
19,code#breaker,11,3,voiced,dp,long,0.11030433610719592,0.0729705608093758,0.661538461538462,plosive,plosive,1,22
19,code#word,12,3,sonorant,dp,long,0.16195644636662615,0.08359042393116184,0.5161290322580643,plosive,plosive,0.16,25
19,shade#plant,13,4,assimilation,dp,long,0.196401766004415,0.0903448123620309,0.46,plosive,plosive,1,27
19,skate#park,14,4,voiceless,dp,long,0.11336622955053988,0.08182825591617915,0.7218045112781954,plosive,plosive,0.20833333333333334,24
19,spade#beard,15,4,voiced,dp,long,NA,NA,NA,plosive,plosive,NA,NA
19,spade#work,16,4,sonorant,dp,long,0.12897349234237998,0.07662542780341403,0.5941176470588239,plosive,plosive,1,23
19,speed#freak,17,5,assimilation,df,long,0.13227777550376824,0.059124157232744834,0.4469696969696965,plosive,fricative,0.47058823529411764,17
19,seat#frame,18,5,voiceless,df,long,0.11580535243501372,0.11957138015647761,1.0325203252032522,plosive,fricative,0,36
19,seed#vault,19,5,voiced,df,long,0.15603196787210627,0.07873835415768327,0.5046296296296297,plosive,fricative,1,24
19,speed#walking,20,5,sonorant,df,long,0.1697128519040539,0.09558539934826027,0.5632183908045978,plosive,fricative,1,29
19,food#fight,21,6,assimilation,df,long,0.12448557429253632,0.07203378737152377,0.5786516853932581,plosive,fricative,1,21
19,boot#faced,22,6,voiceless,df,long,0.10916042329186482,0.09021272514538026,0.826423372362494,plosive,fricative,0.07407407407407407,27
19,food#vendor,23,6,voiced,df,long,0.13685595711132134,0.058652553047709166,0.4285714285714287,plosive,fricative,1,17
19,food#mixer,24,6,sonorant,df,long,0.1442608844695873,0.08720855727822507,0.6045197740112993,plosive,fricative,0.7692307692307693,26
19,toad#fish,25,7,assimilation,df,long,0.16392520842584907,0.09835512505550942,0.5999999999999999,plosive,fricative,1,29
